user_id,day,typing_speed,key_press_duration,correction_rate,screen_time,night_usage,unlock_count,movement_intensity,acceleration_variance,task_accuracy,task_completion_time,speed_variance,risk_stage
user_0000,43,63.81,113.45,3.94,4.51,0.45,40,1.01,0.0963,93.44,18.0,0.1698,0
user_0000,44,64.13,113.51,4.12,4.51,0.45,40,0.99,0.0924,93.63,18.0,0.1675,0
user_0000,45,63.92,113.56,3.97,4.5,0.45,39,1.0,0.0945,93.28,18.07,0.1678,0
user_0000,46,63.96,113.68,4.02,4.5,0.45,40,1.0,0.0984,93.69,18.09,0.1666,0
user_0000,47,63.89,113.37,4.02,4.45,0.45,39,0.99,0.0965,93.42,18.03,0.1702,0
user_0000,48,63.73,113.58,3.97,4.5,0.46,40,1.0,0.0942,93.78,17.82,0.1663,0
user_0000,49,64.0,113.64,4.04,4.56,0.45,40,1.0,0.0962,93.5,17.97,0.1679,0
user_0000,50,64.13,113.07,4.03,4.51,0.46,39,1.01,0.0943,93.31,18.11,0.1665,0
user_0000,51,63.74,113.62,3.98,4.54,0.46,40,1.0,0.0957,93.55,18.06,0.1665,0
user_0000,52,63.91,113.74,4.09,4.54,0.45,39,1.0,0.0937,93.45,18.15,0.1678,0
user_0000,53,63.92,113.82,4.1,4.51,0.45,39,1.0,0.0968,93.67,18.1,0.1657,0
user_0000,54,64.02,113.35,3.96,4.52,0.46,39,0.99,0.0956,93.8,17.98,0.1674,0
user_0000,55,64.24,113.76,4.02,4.53,0.45,39,0.99,0.0981,93.55,18.01,0.1673,0
user_0000,56,64.09,114.25,4.04,4.5,0.45,40,1.0,0.0966,93.3,17.98,0.168,0
user_0000,57,64.16,113.41,3.89,4.51,0.44,39,1.0,0.0933,93.61,17.98,0.1685,0
user_0000,58,63.7,113.36,4.04,4.5,0.45,40,1.0,0.0943,93.55,17.92,0.1681,0
user_0000,59,63.96,113.66,4.19,4.49,0.47,39,0.99,0.0935,93.41,18.02,0.1677,0
user_0001,0,58.1,113.82,4.05,4.39,0.38,40,0.99,0.0745,93.25,17.96,0.1186,0
user_0001,1,58.03,113.41,4.09,4.4,0.39,40,1.0,0.074,93.15,18.09,0.1177,0
user_0001,2,57.88,113.76,3.95,4.39,0.37,40,0.99,0.0761,93.07,18.17,0.1181,0
user_0001,3,57.95,113.36,4.03,4.42,0.39,40,1.0,0.0729,93.27,18.03,0.1162,0
user_0001,4,57.76,113.69,4.01,4.42,0.38,40,1.0,0.0723,93.3,17.9,0.1183,0
user_0001,5,57.71,113.76,4.04,4.43,0.39,40,1.01,0.0707,93.15,17.94,0.1179,0
user_0001,6,58.04,113.32,4.01,4.4,0.38,39,1.0,0.0714,93.18,18.11,0.117,0
user_0001,7,58.36,113.62,4.01,4.4,0.39,39,1.0,0.0773,93.27,18.11,0.1172,0
user_0001,8,57.96,113.94,3.95,4.47,0.39,39,1.0,0.0749,93.34,17.84,0.1172,0
user_0001,9,57.92,113.48,4.05,4.43,0.37,40,1.0,0.0743,93.38,18.08,0.1184,0
user_0001,10,57.95,113.09,4.03,4.43,0.39,39,0.99,0.075,93.27,18.07,0.1179,0
user_0001,11,57.97,113.74,3.96,4.42,0.38,39,1.0,0.0738,93.23,18.13,0.117,0
user_0001,12,57.93,113.39,4.11,4.43,0.39,39,1.0,0.0748,93.28,18.11,0.1174,0
user_0001,13,58.17,114.08,3.97,4.41,0.4,40,1.0,0.0728,93.25,17.87,0.117,0
user_0001,14,57.81,113.31,4.0,4.43,0.4,39,1.0,0.0731,93.27,18.07,0.1168,0
user_0001,15,58.02,113.54,4.04,4.43,0.41,39,1.0,0.0725,93.22,17.94,0.1191,0
user_0001,16,58.17,113.36,3.94,4.43,0.38,40,1.0,0.0712,93.43,18.18,0.1173,0
user_0001,17,57.9,113.57,4.03,4.44,0.4,39,1.0,0.0714,93.2,18.0,0.1197,0
user_0001,18,57.88,113.56,4.0,4.45,0.41,39,1.0,0.075,93.34,18.18,0.1185,0
user_0001,19,57.91,113.65,4.08,4.44,0.39,40,1.01,0.0755,93.34,17.98,0.1181,0
user_0001,20,58.14,113.3,4.03,4.41,0.38,40,1.0,0.0735,93.14,18.07,0.1186,0
user_0001,21,58.29,113.42,4.02,4.43,0.4,39,1.0,0.0744,93.29,17.96,0.1181,0
user_0001,22,58.12,113.24,4.01,4.4,0.4,39,1.0,0.074,93.43,17.99,0.1174,0
user_0001,23,58.24,113.14,3.84,4.43,0.38,39,1.0,0.0738,93.22,17.87,0.1188,0
user_0001,24,58.06,113.48,4.14,4.4,0.37,39,1.0,0.0738,93.25,18.04,0.1167,0
user_0001,25,58.18,113.48,4.08,4.43,0.39,40,1.0,0.0744,93.41,18.02,0.1186,0
user_0001,26,57.95,113.86,3.95,4.47,0.38,39,1.0,0.0724,93.36,17.93,0.1175,0
user_0001,27,57.68,113.39,3.82,4.38,0.39,40,1.0,0.072,93.27,18.0,0.1168,0
user_0001,28,58.19,113.72,3.98,4.42,0.39,39,1.0,0.0724,93.18,17.97,0.1197,0
user_0001,29,58.06,113.36,4.04,4.46,0.39,40,1.0,0.0745,93.32,18.09,0.1185,0
user_0001,30,58.12,113.37,4.1,4.43,0.4,39,1.01,0.0738,93.21,17.95,0.1176,0
user_0001,31,58.03,113.63,3.96,4.42,0.4,40,1.0,0.0735,93.29,18.06,0.1169,0
user_0001,32,57.92,113.08,4.03,4.44,0.38,40,0.99,0.0713,93.3,18.1,0.1196,0
user_0001,33,57.89,113.77,4.0,4.42,0.39,40,0.99,0.0757,93.41,17.94,0.1183,0
user_0001,34,58.04,113.57,3.96,4.41,0.38,40,1.0,0.0729,93.35,17.72,0.1191,0
user_0001,35,57.7,113.41,3.92,4.39,0.39,39,1.0,0.0734,93.32,18.01,0.1166,0
user_0001,36,58.11,113.38,3.88,4.41,0.4,40,1.0,0.0729,93.24,18.21,0.1183,0
user_0001,37,58.03,113.76,4.02,4.42,0.38,39,1.0,0.0746,93.28,18.07,0.1178,0
user_0001,38,57.97,113.0,4.07,4.43,0.39,39,1.01,0.0733,93.39,17.9,0.1185,0
user_0001,39,57.8,113.35,4.14,4.42,0.39,40,1.0,0.0737,93.31,18.24,0.1179,0
user_0001,40,57.99,113.76,4.08,4.45,0.39,39,1.01,0.0717,93.31,17.92,0.1178,0
user_0001,41,58.01,113.58,4.03,4.46,0.39,39,1.0,0.0753,93.15,18.06,0.1186,0
user_0001,42,57.92,113.85,3.99,4.43,0.38,40,0.99,0.0713,93.44,17.92,0.1169,0
user_0001,43,57.64,113.34,3.9,4.46,0.39,39,1.01,0.0749,93.24,17.75,0.1202,0
user_0001,44,57.75,113.09,4.08,4.48,0.4,40,1.0,0.0747,93.35,18.03,0.118,0
user_0001,45,57.95,113.31,3.98,4.38,0.38,39,0.99,0.0737,93.42,18.09,0.1163,0
user_0001,46,57.81,113.74,3.93,4.42,0.39,39,1.0,0.0715,93.22,18.03,0.1163,0
user_0001,47,58.03,113.5,4.04,4.43,0.4,40,1.0,0.0737,93.33,18.0,0.118,0
user_0001,48,57.86,113.34,3.89,4.47,0.37,39,1.0,0.0748,93.25,18.12,0.1172,0
user_0001,49,58.0,113.29,4.16,4.39,0.39,40,1.0,0.0732,93.26,18.0,0.1178,0
user_0001,50,58.11,114.05,3.96,4.39,0.38,40,1.0,0.0759,93.44,17.94,0.1185,0
user_0001,51,58.21,113.41,3.98,4.41,0.37,39,0.99,0.0735,93.2,18.02,0.1164,0
user_0001,52,58.01,113.71,3.85,4.43,0.4,39,1.01,0.0741,93.21,17.99,0.1185,0
user_0001,53,57.97,113.64,3.93,4.43,0.37,39,1.0,0.0724,93.4,18.11,0.1185,0
user_0001,54,57.8,113.42,4.09,4.43,0.41,40,1.0,0.073,93.29,17.98,0.1186,0
user_0001,55,58.1,113.3,3.9,4.38,0.39,39,0.99,0.0741,93.53,18.0,0.1188,0
user_0001,56,57.97,113.48,4.07,4.41,0.39,40,1.0,0.075,93.26,17.92,0.1184,0
user_0001,57,57.83,113.51,4.0,4.45,0.39,39,1.0,0.0756,93.33,18.0,0.1166,0
user_0001,58,57.8,113.42,3.95,4.42,0.38,40,1.0,0.0742,93.28,17.8,0.117,0
user_0001,59,57.94,113.2,4.04,4.46,0.4,39,1.01,0.0737,93.24,17.94,0.1176,0
user_0002,0,56.67,116.44,3.98,4.13,0.31,39,0.99,0.1106,96.35,18.09,0.1492,0
user_0002,1,56.89,116.66,3.97,4.13,0.31,39,1.0,0.1071,96.28,18.0,0.1465,0
user_0002,2,57.2,116.41,4.0,4.16,0.29,39,1.0,0.1074,96.15,18.03,0.1487,0
user_0002,3,57.07,116.42,3.88,4.12,0.3,40,1.01,0.1106,96.41,18.08,0.1478,0
user_0002,4,56.92,116.41,4.0,4.13,0.32,39,1.0,0.1091,96.34,17.92,0.1498,0
user_0002,5,56.75,116.37,4.05,4.16,0.3,39,1.0,0.1077,96.3,18.09,0.1491,0
user_0002,6,57.09,116.39,3.96,4.14,0.29,40,1.01,0.1079,96.39,18.15,0.1503,0
user_0002,7,57.01,116.85,3.94,4.14,0.31,39,1.0,0.1068,96.21,17.81,0.1491,0
user_0002,8,56.92,116.58,3.98,4.13,0.3,39,1.0,0.1092,96.41,18.08,0.1477,0
user_0002,9,57.08,116.67,4.07,4.15,0.29,40,1.0,0.1088,96.37,17.99,0.1493,0
user_0002,10,56.98,116.71,3.89,4.14,0.31,40,1.01,0.1059,96.39,18.18,0.1491,0
user_0002,11,56.94,116.93,3.95,4.14,0.3,39,1.0,0.1073,96.51,17.96,0.1487,0
user_0002,12,56.68,116.88,4.11,4.12,0.29,40,1.01,0.1066,96.27,17.95,0.1477,0
user_0002,13,56.77,116.18,4.04,4.14,0.28,40,1.01,0.1076,96.5,17.94,0.1487,0
user_0002,14,47.17,141.26,9.38,5.93,1.37,62,0.83,0.2552,87.48,23.94,0.2693,1
user_0002,15,47.29,141.03,9.48,5.91,1.39,61,0.81,0.2539,87.34,23.91,0.2676,1
user_0002,16,47.27,140.82,9.3,5.93,1.39,62,0.81,0.2522,87.41,24.11,0.2682,1
user_0002,17,47.47,140.22,9.31,5.94,1.37,61,0.82,0.2539,87.19,24.02,0.2695,1
user_0002,18,47.27,140.61,9.43,5.92,1.39,61,0.82,0.253,87.34,23.71,0.2683,1
user_0002,19,47.43,140.9,9.43,5.9,1.38,61,0.82,0.2529,87.28,23.91,0.2688,1
user_0002,20,47.26,140.49,9.33,5.92,1.4,61,0.82,0.2529,87.27,23.82,0.2675,2
user_0002,21,47.33,140.73,9.45,5.93,1.38,61,0.82,0.2514,87.27,24.06,0.2672,2
user_0002,22,47.66,140.72,9.43,5.91,1.38,61,0.82,0.2537,87.34,24.1,0.2711,2
user_0002,23,47.25,140.74,9.43,5.97,1.38,61,0.81,0.2527,87.34,24.2,0.2703,2
user_0002,24,47.14,140.53,9.41,5.96,1.38,61,0.82,0.2518,87.44,23.93,0.268,2
user_0002,25,47.47,140.51,9.29,5.93,1.38,61,0.82,0.2527,87.38,23.93,0.2686,2
user_0002,26,47.43,140.46,9.4,5.95,1.39,61,0.82,0.25,87.4,24.04,0.2699,2
user_0002,27,47.47,140.84,9.46,5.92,1.37,61,0.82,0.2537,87.46,23.96,0.2682,2
user_0002,28,47.37,140.57,9.36,5.94,1.39,61,0.81,0.2516,87.4,24.02,0.2687,2
user_0002,29,47.37,140.71,9.42,5.93,1.39,61,0.81,0.2524,87.38,23.97,0.2703,2
user_0002,30,47.33,140.5,9.44,5.94,1.38,62,0.82,0.2523,87.19,23.98,0.2698,2
user_0002,31,47.28,140.14,9.36,5.95,1.39,61,0.82,0.2521,87.32,23.8,0.2693,2
user_0002,32,47.48,140.32,9.49,5.93,1.39,61,0.82,0.2533,87.3,24.12,0.2674,2
user_0002,33,47.23,140.84,9.36,5.95,1.39,61,0.81,0.2529,87.48,23.87,0.2692,2
user_0002,34,47.39,140.4,9.46,5.94,1.39,61,0.82,0.2502,87.15,24.01,0.2696,2
user_0002,35,47.33,140.69,9.39,5.9,1.38,61,0.82,0.2539,87.4,24.03,0.2694,2
user_0002,36,52.82,126.87,6.22,4.89,0.74,48,0.93,0.1659,92.6,20.34,0.1993,1
user_0002,37,53.05,126.49,6.28,4.9,0.76,49,0.93,0.1678,92.64,20.45,0.1978,1
user_0002,38,52.9,126.79,6.34,4.89,0.76,49,0.94,0.166,92.56,20.65,0.1981,1
user_0002,39,53.03,126.76,6.41,4.85,0.76,49,0.92,0.1699,92.53,20.5,0.1982,1
user_0002,40,52.53,126.81,6.26,4.92,0.76,49,0.93,0.1686,92.61,20.46,0.1963,1
user_0002,41,52.86,126.19,6.28,4.85,0.74,48,0.92,0.1687,92.74,20.44,0.199,1
user_0002,42,53.3,126.8,6.24,4.86,0.75,48,0.93,0.1689,92.42,20.5,0.1996,1
user_0002,43,52.83,126.54,6.15,4.83,0.76,48,0.93,0.171,92.72,20.45,0.1986,1
user_0002,44,52.8,126.53,6.28,4.86,0.73,48,0.92,0.171,92.58,20.55,0.1983,1
user_0002,45,53.08,126.99,6.34,4.84,0.75,49,0.93,0.1697,92.64,20.43,0.1968,1
user_0002,46,52.8,127.37,6.21,4.83,0.76,49,0.93,0.1694,92.72,20.68,0.1977,1
user_0002,47,52.75,126.43,6.23,4.91,0.76,49,0.92,0.1677,92.45,20.62,0.2001,1
user_0002,48,53.01,126.46,6.36,4.87,0.74,48,0.92,0.1688,92.62,20.36,0.1997,1
user_0002,49,52.87,126.53,6.33,4.85,0.73,49,0.93,0.168,92.63,20.39,0.1985,1
user_0002,50,52.82,126.68,6.28,4.85,0.75,48,0.92,0.1686,92.65,20.52,0.1994,1
user_0002,51,52.66,126.33,6.29,4.83,0.75,48,0.93,0.1691,92.61,20.62,0.1974,1
user_0002,52,52.76,126.39,6.19,4.88,0.76,49,0.92,0.1685,92.52,20.48,0.2008,1
user_0002,53,52.94,126.93,6.4,4.91,0.75,48,0.92,0.1679,92.48,20.52,0.1988,1
user_0002,54,53.16,126.61,6.27,4.86,0.76,48,0.92,0.1687,92.67,20.53,0.1995,1
user_0002,55,52.68,126.49,6.3,4.86,0.75,48,0.94,0.1683,92.75,20.47,0.1989,1
user_0002,56,53.12,127.0,6.23,4.88,0.76,49,0.93,0.1717,92.61,20.6,0.1996,1
user_0002,57,52.83,126.52,6.34,4.87,0.74,48,0.92,0.17,92.68,20.57,0.1989,1
user_0002,58,52.81,126.88,6.34,4.89,0.75,48,0.93,0.1675,92.63,20.34,0.1969,1
user_0002,59,52.87,126.57,6.26,4.88,0.75,49,0.92,0.1684,92.78,20.5,0.1983,1
user_0003,0,60.78,113.34,3.98,3.38,0.21,39,1.0,0.0851,95.88,17.87,0.0981,0
user_0003,1,60.69,113.84,4.09,3.44,0.2,40,1.0,0.0854,95.8,18.11,0.1039,0
user_0003,2,60.72,113.26,4.0,3.39,0.19,39,1.0,0.085,95.66,18.11,0.1011,0
user_0003,3,60.66,113.3,4.01,3.45,0.19,39,1.0,0.0827,95.66,17.95,0.102,0
user_0003,4,60.7,113.43,4.06,3.43,0.2,39,1.0,0.0839,95.5,17.99,0.1025,0
user_0003,5,60.8,113.63,4.09,3.43,0.2,39,1.0,0.0857,95.87,17.99,0.1007,0
user_0003,6,60.66,113.54,3.89,3.37,0.19,39,1.0,0.0845,95.7,18.15,0.1014,0
user_0003,7,60.71,113.54,3.91,3.46,0.2,40,0.99,0.0824,95.83,18.04,0.1002,0
user_0003,8,60.53,113.67,3.91,3.47,0.19,40,1.0,0.0856,95.69,17.98,0.1011,0
user_0003,9,60.51,113.57,3.96,3.43,0.19,39,1.0,0.0884,95.82,18.0,0.1008,0
user_0003,10,60.66,113.52,3.91,3.46,0.21,40,1.0,0.0848,95.81,18.06,0.1007,0
user_0003,11,60.57,113.41,4.12,3.4,0.19,40,1.0,0.085,95.77,17.98,0.1026,0
user_0003,12,60.42,113.18,3.99,3.39,0.2,40,1.0,0.0851,95.62,17.94,0.1007,0
user_0003,13,60.61,113.71,4.04,3.4,0.2,40,1.01,0.0871,95.64,17.92,0.0998,0
user_0003,14,52.62,133.5,8.57,4.93,1.1,58,0.85,0.2079,88.09,23.02,0.2031,1
user_0003,15,52.66,133.34,8.47,4.93,1.11,57,0.86,0.2026,88.22,22.96,0.2017,1
user_0003,16,52.42,133.5,8.65,4.9,1.1,57,0.85,0.2048,88.18,23.05,0.2029,1
user_0003,17,52.63,133.57,8.4,4.91,1.1,58,0.85,0.2043,88.25,22.87,0.2017,1
user_0003,18,52.79,133.27,8.46,4.94,1.1,57,0.86,0.2044,88.21,22.94,0.2018,1
user_0003,19,52.63,133.22,8.6,4.97,1.09,57,0.86,0.2037,88.32,22.8,0.202,1
user_0003,20,40.48,163.57,15.25,7.16,2.45,85,0.63,0.3856,77.19,30.34,0.3527,3
user_0003,21,40.68,163.16,15.15,7.18,2.46,84,0.63,0.3826,76.99,30.37,0.3515,3
user_0003,22,40.79,163.28,15.05,7.19,2.45,85,0.63,0.3831,77.06,30.62,0.3493,3
user_0003,23,40.71,163.26,15.24,7.19,2.45,84,0.63,0.3831,76.89,30.57,0.35,3
user_0003,24,40.76,163.5,15.12,7.17,2.46,84,0.62,0.3854,77.07,30.47,0.3505,3
user_0003,25,40.87,163.82,15.32,7.18,2.44,84,0.63,0.3854,77.14,30.57,0.3496,3
user_0003,26,40.82,163.14,15.22,7.19,2.47,85,0.63,0.3845,77.05,30.59,0.3508,3
user_0003,27,40.93,163.44,15.29,7.2,2.45,85,0.62,0.3839,76.89,30.54,0.3519,3
user_0003,28,40.73,163.8,15.25,7.2,2.44,84,0.63,0.386,76.97,30.49,0.3496,3
user_0003,29,40.61,163.61,15.29,7.19,2.45,85,0.62,0.3858,77.04,30.55,0.3506,3
user_0003,30,40.34,163.66,15.21,7.16,2.46,84,0.63,0.3857,77.06,30.36,0.3523,3
user_0003,31,40.7,163.29,15.26,7.14,2.45,84,0.62,0.3824,77.11,30.44,0.3526,3
user_0003,32,40.58,162.96,15.17,7.21,2.45,84,0.63,0.3855,77.11,30.64,0.3507,3
user_0003,33,40.46,163.28,15.27,7.16,2.44,85,0.62,0.3848,76.92,30.48,0.3502,3
user_0003,34,40.79,163.65,15.11,7.16,2.44,84,0.62,0.3826,76.9,30.4,0.3513,3
user_0003,35,40.67,163.21,15.26,7.17,2.45,85,0.63,0.3828,77.08,30.58,0.35,3
user_0003,36,40.78,163.77,15.17,7.16,2.46,85,0.63,0.3852,77.03,30.37,0.3522,3
user_0003,37,40.84,163.33,15.25,7.14,2.46,85,0.62,0.3864,76.96,30.56,0.3501,3
user_0003,38,40.66,163.34,15.27,7.17,2.45,85,0.62,0.3823,77.17,30.64,0.3498,3
user_0003,39,40.76,163.26,15.27,7.19,2.45,84,0.62,0.3834,76.91,30.49,0.3504,3
user_0003,40,35.16,177.76,18.36,8.24,3.09,97,0.52,0.4698,71.79,33.88,0.422,4
user_0003,41,35.19,177.2,18.4,8.25,3.08,97,0.53,0.4676,71.61,34.03,0.4218,4
user_0003,42,35.03,177.75,18.3,8.25,3.07,98,0.53,0.4676,71.69,34.09,0.4207,4
user_0003,43,35.05,177.39,18.26,8.23,3.07,97,0.53,0.4668,71.83,33.97,0.4208,4
user_0003,44,35.18,177.47,18.44,8.26,3.08,97,0.51,0.4675,72.04,34.12,0.4198,4
user_0003,45,34.86,177.51,18.44,8.25,3.08,97,0.52,0.4689,71.52,33.98,0.4203,4
user_0003,46,35.09,178.13,18.43,8.22,3.09,97,0.52,0.4696,71.95,33.89,0.4216,4
user_0003,47,34.92,177.53,18.33,8.22,3.08,97,0.52,0.4669,71.75,33.93,0.4198,4
user_0003,48,35.03,177.31,18.58,8.24,3.07,97,0.53,0.4719,71.59,33.81,0.423,4
user_0003,49,35.12,177.17,18.44,8.17,3.08,97,0.52,0.4672,71.75,33.91,0.4214,4
user_0003,50,34.93,177.28,18.33,8.25,3.09,97,0.52,0.4666,71.72,33.99,0.4237,4
user_0003,51,34.89,177.75,18.47,8.24,3.1,97,0.52,0.4687,71.87,34.11,0.4205,4
user_0003,52,34.86,177.34,18.34,8.23,3.09,97,0.52,0.4688,71.83,33.78,0.4205,4
user_0003,53,35.09,177.69,18.36,8.19,3.09,97,0.51,0.4678,71.73,33.94,0.4189,4
user_0003,54,35.19,177.71,18.45,8.2,3.08,97,0.52,0.4697,71.67,34.01,0.4216,4
user_0003,55,35.28,177.56,18.46,8.23,3.09,97,0.52,0.4708,71.82,33.96,0.4206,4
user_0003,56,35.1,177.5,18.41,8.24,3.1,97,0.52,0.4701,71.64,34.04,0.4229,4
user_0003,57,35.03,177.17,18.35,8.21,3.07,97,0.51,0.4688,71.84,33.91,0.4226,4
user_0003,58,35.14,177.64,18.35,8.25,3.07,97,0.52,0.4696,71.63,33.91,0.4217,4
user_0003,59,34.92,177.5,18.3,8.25,3.07,97,0.52,0.4677,71.8,34.03,0.4206,4
user_0004,0,51.89,95.54,3.98,4.27,0.15,39,1.0,0.1036,93.39,18.04,0.1407,0
user_0004,1,51.92,95.25,4.09,4.26,0.13,40,0.99,0.1029,93.61,18.06,0.1414,0
user_0004,2,52.23,95.62,4.02,4.32,0.16,40,1.0,0.0999,93.42,18.07,0.1405,0
user_0004,3,51.9,95.51,3.89,4.28,0.15,40,1.0,0.1043,93.47,17.93,0.1416,0
user_0004,4,52.11,95.51,3.99,4.28,0.13,40,1.01,0.0999,93.56,18.04,0.1394,0
user_0004,5,51.75,95.47,3.97,4.33,0.15,40,1.0,0.1039,93.56,18.05,0.1394,0
user_0004,6,52.39,95.1,3.98,4.24,0.15,40,1.0,0.0993,93.58,17.92,0.1402,0
user_0004,7,52.07,95.44,4.02,4.3,0.15,39,1.0,0.1022,93.38,18.1,0.1407,0
user_0004,8,51.94,95.67,3.99,4.28,0.14,40,1.0,0.1009,93.46,17.93,0.1397,0
user_0004,9,51.67,95.32,3.87,4.27,0.14,40,0.99,0.1008,93.43,17.94,0.1417,0
user_0004,10,51.76,95.28,4.02,4.3,0.14,39,1.0,0.1039,93.5,18.02,0.1393,0
user_0004,11,51.76,95.38,3.89,4.3,0.14,39,0.99,0.1013,93.35,17.77,0.1409,0
user_0004,12,52.18,95.66,4.05,4.27,0.15,40,1.0,0.1001,93.42,18.17,0.1403,0
user_0004,13,51.43,95.01,3.97,4.31,0.14,40,1.0,0.099,93.42,18.03,0.1406,0
user_0004,14,43.74,115.29,8.7,5.75,1.05,57,0.85,0.2206,86.01,22.87,0.2407,1
user_0004,15,43.8,115.19,8.53,5.77,1.05,57,0.85,0.2226,85.94,22.9,0.2398,1
user_0004,16,44.11,115.4,8.44,5.79,1.05,58,0.85,0.2209,85.91,22.96,0.2409,1
user_0004,17,43.98,115.47,8.6,5.8,1.04,57,0.85,0.2215,86.06,23.0,0.2397,1
user_0004,18,43.82,115.36,8.57,5.82,1.04,57,0.84,0.2248,85.83,23.12,0.24,1
user_0004,19,43.84,115.1,8.68,5.79,1.04,58,0.85,0.2219,85.98,22.95,0.2416,1
user_0004,20,31.9,144.99,15.23,8.04,2.38,84,0.62,0.4037,74.67,30.64,0.3898,3
